
Все фоновые задания выполнены

=== ОТЧЕТ О РАБОТЕ ПАРАЛЛЕЛЬНЫХ ПОТОКОВ ===

1. ОБЩАЯ ИНФОРМАЦИЯ
   - Дата и время начала: 25.11.2025 07:59:57
   - Дата и время окончания: 25.11.2025 08:12:37
   - Общая длительность: 760,00 сек
   - Базовое количество потоков (N): 6
   - Общее количество созданных потоков: 859
   - Средний вес договоров: 18,60
   - Целевой вес потока (Q1 + 1.5×IQR): 15,50
   - Общее количество договоров: 1546
   - Общее количество задач: 28757

2. РАСПРЕДЕЛЕНИЕ ПОТОКОВ
   Номер |   Вес |  Кол-во | Время запуск | Время завершени | Длительность | Статус    
     171 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     172 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     173 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     174 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     175 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     176 |    25 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     177 |    25 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     178 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     179 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     180 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     181 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     182 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     183 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     184 |    25 |       1 | 08:09:49     | 08:09:54        |     5,00 сек | Успешно   
     185 |    25 |       1 | 08:09:49     | 08:09:55        |     6,00 сек | Успешно   
     186 |    25 |       1 | 08:09:49     | 08:09:55        |     6,00 сек | Успешно   
     187 |    25 |       1 | 08:09:49     | 08:09:55        |     6,00 сек | Успешно   
     188 |    25 |       1 | 08:09:49     | 08:09:55        |     6,00 сек | Успешно   
     189 |    25 |       1 | 08:09:54     | 08:09:59        |     5,00 сек | Успешно   
     190 |    25 |       1 | 08:09:54     | 08:09:59        |     5,00 сек | Успешно   
     191 |    25 |       1 | 08:09:54     | 08:10:00        |     6,00 сек | Успешно   
     192 |    25 |       1 | 08:09:54     | 08:10:00        |     6,00 сек | Успешно   
     193 |    25 |       1 | 08:09:54     | 08:10:00        |     6,00 сек | Успешно   
     194 |    24 |       1 | 08:09:54     | 08:09:59        |     5,00 сек | Успешно   
     195 |    24 |       1 | 08:09:54     | 08:09:59        |     5,00 сек | Успешно   
     196 |    24 |       1 | 08:09:55     | 08:09:59        |     4,00 сек | Успешно   
     197 |    24 |       1 | 08:09:55     | 08:09:59        |     4,00 сек | Успешно   
     198 |    24 |       1 | 08:09:55     | 08:09:59        |     4,00 сек | Успешно   
     199 |    24 |       1 | 08:09:55     | 08:09:59        |     4,00 сек | Успешно   
     200 |    24 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     201 |    24 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     202 |    24 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     203 |    24 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     204 |    23 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     205 |    23 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     206 |    23 |       1 | 08:09:59     | 08:10:03        |     4,00 сек | Успешно   
     207 |    23 |       1 | 08:09:59     | 08:10:04        |     5,00 сек | Успешно   
     208 |    23 |       1 | 08:10:00     | 08:10:04        |     4,00 сек | Успешно   
     209 |    23 |       1 | 08:10:00     | 08:10:04        |     4,00 сек | Успешно   
     210 |    23 |       1 | 08:10:00     | 08:10:04        |     4,00 сек | Успешно   
     211 |    23 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     212 |    23 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     213 |    23 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     214 |    23 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     215 |    23 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
     216 |    22 |       1 | 08:10:03     | 08:10:07        |     4,00 сек | Успешно   
